wavelength_um,emissivity_d0.5um,emissivity_d5um,emissivity_d20um,emissivity_d50um,emissivity_d100um,emissivity_d200um
20.450000,0.049067,0.274179,0.745006,0.936092,0.960790,0.961572
20.500000,0.048884,0.272578,0.742887,0.935109,0.960319,0.961136
20.550000,0.048601,0.270497,0.740088,0.933936,0.959848,0.960715
20.600000,0.048221,0.267960,0.736618,0.932570,0.959379,0.960312
20.650000,0.047750,0.264992,0.732491,0.931008,0.958912,0.959928
20.700000,0.047193,0.261625,0.727722,0.929244,0.958446,0.959565
20.750000,0.046557,0.257891,0.722329,0.927273,0.957979,0.959225
20.800000,0.045850,0.253826,0.716330,0.925087,0.957509,0.958907
20.850000,0.045080,0.249467,0.709749,0.922678,0.957031,0.958613
20.900000,0.044253,0.244851,0.702609,0.920039,0.956542,0.958343
20.950000,0.043380,0.240016,0.694936,0.917162,0.956037,0.958096
21.000000,0.042466,0.234999,0.686760,0.914039,0.955509,0.957872
21.050000,0.041521,0.229835,0.678110,0.910664,0.954953,0.957670
21.100000,0.040551,0.224559,0.669020,0.907030,0.954361,0.957489
21.150000,0.039562,0.219203,0.659522,0.903130,0.953727,0.957328
21.200000,0.038563,0.213797,0.649651,0.898960,0.953042,0.957186
21.250000,0.037557,0.208368,0.639444,0.894514,0.952300,0.957060
21.300000,0.036551,0.202940,0.628938,0.889785,0.951491,0.956950
21.350000,0.035549,0.197538,0.618168,0.884770,0.950607,0.956854
21.400000,0.034555,0.192179,0.607174,0.879463,0.949638,0.956770
21.450000,0.033572,0.186883,0.595991,0.873856,0.948573,0.956697
21.500000,0.032604,0.181663,0.584657,0.867944,0.947397,0.956631
21.550000,0.031654,0.176533,0.573207,0.861720,0.946095,0.956572
21.600000,0.030723,0.171503,0.561677,0.855176,0.944646,0.956516
21.650000,0.029813,0.166581,0.550098,0.848305,0.943026,0.956460
21.700000,0.028925,0.161776,0.538505,0.841099,0.941210,0.956399
21.750000,0.028061,0.157092,0.526926,0.833551,0.939167,0.956327
21.800000,0.027220,0.152533,0.515390,0.825657,0.936864,0.956237
21.850000,0.026405,0.148103,0.503925,0.817413,0.934269,0.956120
21.900000,0.025614,0.143802,0.492554,0.808817,0.931351,0.955968
21.950000,0.024848,0.139631,0.481300,0.799872,0.928084,0.955775
22.000000,0.024107,0.135591,0.470184,0.790583,0.924447,0.955537
22.050000,0.023391,0.131680,0.459224,0.780961,0.920429,0.955254
22.100000,0.022699,0.127898,0.448436,0.771019,0.916033,0.954933
22.150000,0.022031,0.124241,0.437834,0.760777,0.911272,0.954582
22.200000,0.021386,0.120709,0.427431,0.750257,0.906177,0.954211
22.250000,0.020764,0.117297,0.417237,0.739487,0.900789,0.953826
22.300000,0.020164,0.114004,0.407261,0.728500,0.895164,0.953425
22.350000,0.019586,0.110826,0.397510,0.717330,0.889367,0.952994
22.400000,0.019029,0.107760,0.387990,0.706016,0.883467,0.952504
22.450000,0.018492,0.104802,0.378704,0.694599,0.877537,0.951913
22.500000,0.017975,0.101950,0.369656,0.683120,0.871646,0.951173
22.550000,0.017476,0.099199,0.360847,0.671623,0.865857,0.950234
22.600000,0.016996,0.096547,0.352277,0.660148,0.860219,0.949061
22.650000,0.016534,0.093989,0.343947,0.648739,0.854769,0.947641
22.700000,0.016088,0.091523,0.335854,0.637433,0.849525,0.945994
22.750000,0.015659,0.089145,0.327996,0.626269,0.844484,0.944170
22.800000,0.015245,0.086851,0.320372,0.615282,0.839626,0.942247
22.850000,0.014846,0.084640,0.312977,0.604501,0.834908,0.940319
22.900000,0.014462,0.082506,0.305808,0.593956,0.830272,0.938471
22.950000,0.014091,0.080448,0.298860,0.583670,0.825641,0.936769
23.000000,0.013734,0.078463,0.292129,0.573664,0.820929,0.935233
23.050000,0.013390,0.076547,0.285610,0.563953,0.816042,0.933831
23.100000,0.013058,0.074697,0.279298,0.554550,0.810884,0.932473
23.150000,0.012737,0.072912,0.273187,0.545466,0.805364,0.931021
23.200000,0.012428,0.071189,0.267272,0.536704,0.799399,0.929313
23.250000,0.012129,0.069524,0.261548,0.528268,0.792924,0.927183
23.300000,0.011841,0.067917,0.256008,0.520157,0.785895,0.924502
23.350000,0.011563,0.066363,0.250648,0.512369,0.778289,0.921202
23.400000,0.011294,0.064863,0.245462,0.504896,0.770114,0.917297
23.450000,0.011035,0.063412,0.240444,0.497732,0.761402,0.912893
23.500000,0.010784,0.062009,0.235589,0.490867,0.752212,0.908170
23.550000,0.010541,0.060653,0.230891,0.484289,0.742624,0.903363
